"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 28 10:38:29 CST 2025","Fri Feb 28 10:38:34 CST 2025","5118","testcase","test_login","TestUI","","","test_login",""
"failed","Fri Feb 28 10:38:34 CST 2025","Fri Feb 28 10:38:41 CST 2025","6943","testcase","test_login","TestUI","","","test_logout",""
